supplier_id,supplier_name,category,country,city,lead_time_days,reliability_score,contract_start_date,is_active
SUP001,Reliance Industries,Packaging,India,Pune,9,0.88,2022-03-26,1
SUP002,Tata Chemicals,Raw Materials,USA,Chennai,17,0.75,2021-03-31,1
SUP003,Marico Ltd,Dairy,India,Chennai,13,0.72,2022-10-13,1
SUP004,ITC Limited,FMCG,India,Bengaluru,10,0.98,2020-10-22,0
SUP005,Hindustan Unilever,FMCG,India,Bengaluru,9,0.98,2021-12-20,1
SUP006,Dabur India,Electronics,China,Surat,13,0.93,2020-12-03,1
SUP007,Godrej Consumer,Packaging,India,Pune,13,0.79,2022-05-28,1
SUP008,Emami Ltd,Packaging,India,Pune,6,0.73,2022-12-12,1
SUP009,Patanjali Ayurved,Condiments,India,Delhi,10,0.9,2022-03-02,1
SUP010,Reckitt Benckiser,Raw Materials,India,Kolkata,5,0.83,2020-08-04,1
SUP011,Colgate-Palmolive,Raw Materials,Germany,Delhi,4,0.74,2022-02-02,1
SUP012,Nestle India,Packaging,India,Chennai,14,0.84,2020-07-06,1
SUP013,Parle Products,FMCG,India,Surat,8,0.71,2021-01-14,1
SUP014,Britannia Industries,FMCG,China,Pune,4,0.96,2021-05-07,0
SUP015,Amul Dairy,Raw Materials,India,Ahmedabad,3,0.78,2022-11-30,1
SUP016,Mother Dairy,FMCG,China,Pune,14,0.89,2020-01-15,1
SUP017,Balaji Wafers,Condiments,India,Jaipur,14,0.79,2020-03-05,1
SUP018,Haldiram Snacks,FMCG,India,Kolkata,19,0.85,2021-06-04,1
SUP019,MTR Foods,Processed Foods,India,Bengaluru,12,0.86,2021-10-09,1
SUP020,Bikano Group,Dairy,India,Mumbai,18,0.75,2022-12-22,1
SUP021,Bonn Group,Raw Materials,India,Chennai,17,0.98,2021-08-15,1
SUP022,Cremica Foods,Electronics,India,Bengaluru,17,0.92,2021-01-26,1
SUP023,Priya Pickles,Condiments,India,Bengaluru,14,0.97,2021-02-22,1
SUP024,Eastern Condiments,Snacks & Beverages,India,Surat,5,0.96,2020-10-15,0
SUP025,ADF Foods,Dairy,India,Jaipur,7,0.87,2021-01-13,1
